Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Ålesund Iv;SN60945;12.05.2023;0,9
Ålesund Iv;SN60945;13.05.2023;0,4
Ålesund Iv;SN60945;14.05.2023;0
Ålesund Iv;SN60945;15.05.2023;0
Ålesund Iv;SN60945;16.05.2023;1,1
Ålesund Iv;SN60945;17.05.2023;8,4
Ålesund Iv;SN60945;18.05.2023;0,5
Ålesund Iv;SN60945;19.05.2023;0,1
Ålesund Iv;SN60945;20.05.2023;0
Ålesund Iv;SN60945;21.05.2023;0
Ålesund Iv;SN60945;22.05.2023;0
Ålesund Iv;SN60945;23.05.2023;3,8
Ålesund Iv;SN60945;24.05.2023;0,1
Ålesund Iv;SN60945;25.05.2023;9,3
Ålesund Iv;SN60945;26.05.2023;6,4
Ålesund Iv;SN60945;27.05.2023;0
Ålesund Iv;SN60945;28.05.2023;15,3
Ålesund Iv;SN60945;29.05.2023;4,7
Ålesund Iv;SN60945;30.05.2023;12,4
Ålesund Iv;SN60945;31.05.2023;2,2
Ålesund Iv;SN60945;01.06.2023;0,7
Ålesund Iv;SN60945;02.06.2023;1,3
Ålesund Iv;SN60945;03.06.2023;0,4
Ålesund Iv;SN60945;04.06.2023;0,3
Ålesund Iv;SN60945;05.06.2023;0,1
Ålesund Iv;SN60945;06.06.2023;0
Ålesund Iv;SN60945;07.06.2023;0
Ålesund Iv;SN60945;08.06.2023;0
Ålesund Iv;SN60945;09.06.2023;0
Ålesund Iv;SN60945;10.06.2023;0
Ålesund Iv;SN60945;11.06.2023;0
Ålesund Iv;SN60945;12.06.2023;0
Ålesund Iv;SN60945;13.06.2023;0
Ålesund Iv;SN60945;14.06.2023;0
Ålesund Iv;SN60945;15.06.2023;0
Ålesund Iv;SN60945;16.06.2023;0
Ålesund Iv;SN60945;17.06.2023;0
Ålesund Iv;SN60945;18.06.2023;0
Ålesund Iv;SN60945;19.06.2023;0
Ålesund Iv;SN60945;20.06.2023;0,2
Ålesund Iv;SN60945;21.06.2023;0,9
Ålesund Iv;SN60945;22.06.2023;1,9
Ålesund Iv;SN60945;23.06.2023;8,5
Ålesund Iv;SN60945;24.06.2023;0
Ålesund Iv;SN60945;25.06.2023;0
Ålesund Iv;SN60945;26.06.2023;0
Ålesund Iv;SN60945;27.06.2023;1,7
Ålesund Iv;SN60945;28.06.2023;0
Ålesund Iv;SN60945;29.06.2023;5,2
Ålesund Iv;SN60945;30.06.2023;5,5
Ålesund Iv;SN60945;01.07.2023;1,1
Ålesund Iv;SN60945;02.07.2023;0
Ålesund Iv;SN60945;03.07.2023;0,8
Ålesund Iv;SN60945;04.07.2023;0,8
Ålesund Iv;SN60945;05.07.2023;0,5
Ålesund Iv;SN60945;06.07.2023;0
Ålesund Iv;SN60945;07.07.2023;0
Ålesund Iv;SN60945;08.07.2023;0
Ålesund Iv;SN60945;09.07.2023;0
Ålesund Iv;SN60945;10.07.2023;0
Ålesund Iv;SN60945;11.07.2023;14,2
Ålesund Iv;SN60945;12.07.2023;3,7
Ålesund Iv;SN60945;13.07.2023;4,2
Ålesund Iv;SN60945;14.07.2023;17,6
Ålesund Iv;SN60945;15.07.2023;0,7
Ålesund Iv;SN60945;16.07.2023;6,7
Ålesund Iv;SN60945;17.07.2023;4,4
Ålesund Iv;SN60945;18.07.2023;23,2
Ålesund Iv;SN60945;19.07.2023;8,1
Ålesund Iv;SN60945;20.07.2023;13,9
Ålesund Iv;SN60945;21.07.2023;2,5
Ålesund Iv;SN60945;22.07.2023;0
Ålesund Iv;SN60945;23.07.2023;0
Ålesund Iv;SN60945;24.07.2023;0
Ålesund Iv;SN60945;25.07.2023;2,7
Ålesund Iv;SN60945;26.07.2023;1,1
Ålesund Iv;SN60945;27.07.2023;1,8
Ålesund Iv;SN60945;28.07.2023;0
Ålesund Iv;SN60945;29.07.2023;0
Ålesund Iv;SN60945;30.07.2023;0,9
Ålesund Iv;SN60945;31.07.2023;0
Ålesund Iv;SN60945;01.08.2023;0
Ålesund Iv;SN60945;02.08.2023;0
Ålesund Iv;SN60945;03.08.2023;0
Ålesund Iv;SN60945;04.08.2023;2,1
Ålesund Iv;SN60945;05.08.2023;1,1
Ålesund Iv;SN60945;06.08.2023;0
Ålesund Iv;SN60945;07.08.2023;0
Ålesund Iv;SN60945;08.08.2023;50,8
Ålesund Iv;SN60945;09.08.2023;14,1
Ålesund Iv;SN60945;10.08.2023;9,7
Ålesund Iv;SN60945;11.08.2023;1
Ålesund Iv;SN60945;12.08.2023;2,9
